"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.981,0.827,121.858,0.0163,"0",0.953,"4",0.0923,-20.922,"1",26,2021-01-05,0.0845,134.198,0.0695,"2021","Winter",0,26
0.99,0.558,113.685,0.0292,"0",0.95,"3",0.103,-20.008,"1",9,2021-01-08,0.0833,76.514,0.0657,"2021","Winter",0,9
7e-04,0.909,309.12,0.777,"0",0.628,"4",0.0681,-2.694,"0",0,2021-01-15,0.212,125.011,0.497,"2021","Winter",0,0
0.986,0.691,118.422,0.0295,"0",0.861,"5",0.111,-20.07,"1",6,2021-01-09,0.272,98.414,0.0734,"2021","Winter",0,6
0.985,0.692,151.58,0.00962,"0",0.908,"5",0.0912,-20.321,"1",3,2021-01-10,0.328,111.712,0.0833,"2021","Winter",0,3
8.78e-05,0.745,269.28,0.827,"0",0.414,"0",0.0691,-7.063,"1",0,2021-01-15,0.0494,124.982,0.827,"2021","Winter",0,0
0.992,0.675,151.58,0.011,"0",0.933,"6",0.108,-22.048,"1",0,2021-01-10,0.0853,75.993,0.0619,"2021","Winter",0,0
0.986,0.761,105.604,0.032,"0",0.875,"7",0.127,-19.836,"1",0,2021-01-10,0.058,77.112,0.0565,"2021","Winter",0,0
0.993,0.814,129.01,0.0149,"0",0.934,"10",0.118,-20.942,"1",0,2021-01-10,0.073,100.578,0.116,"2021","Winter",0,0
0.985,0.67,135.047,0.0294,"0",0.935,"2",0.115,-19.861,"1",0,2021-01-09,0.373,75.22,0.0807,"2021","Winter",0,0
0.000146,0.737,233.226,0.939,"0",0.693,"11",0.0389,-4.136,"1",0,2021-01-15,0.0583,123.988,0.937,"2021","Winter",0,0
6.82e-05,0.416,73.367,0.904,"0",1.77e-06,"9",0.09,-5.447,"1",10,2021-01-08,0.0915,111.117,0.344,"2021","Winter",0,10
0.00356,0.705,316.979,0.935,"0",0.52,"4",0.0554,-5.799,"0",0,2021-01-15,0.0566,125.002,0.889,"2021","Winter",0,0
0.986,0.717,123.437,0.0175,"0",0.904,"1",0.122,-19.744,"1",1,2021-01-09,0.106,74.761,0.0915,"2021","Winter",0,1
0.986,0.607,144.057,0.00498,"0",0.905,"4",0.116,-21.376,"1",1,2021-01-09,0.111,77.398,0.198,"2021","Winter",0,1
0.00109,0.395,86.615,0.833,"1",0,"0",0.482,-5.3,"0",10,2021-01-08,0.178,108.573,0.567,"2021","Winter",0,10
0.000101,0.347,137.063,0.842,"1",0,"2",0.154,-6.347,"1",8,2021-01-08,0.0896,104.778,0.207,"2021","Winter",0,8
8.83e-06,0.351,52.535,0.877,"0",0.627,"4",0.739,-6.508,"1",10,2021-01-08,0.0513,108.519,0.247,"2021","Winter",0,10
9.64e-06,0.149,55.052,0.697,"0",0.459,"4",0.163,-6.528,"1",9,2021-01-08,0.0545,151.828,0.312,"2021","Winter",0,9
0.000344,0.321,146.852,0.888,"1",0,"11",0.293,-5.297,"1",9,2021-01-08,0.151,100.407,0.613,"2021","Winter",0,9
0.991,0.563,118.422,0.0256,"0",0.954,"3",0.107,-21.367,"1",1,2021-01-09,0.317,79.472,0.0441,"2021","Winter",0,1
0.000171,0.369,123.799,0.773,"1",0,"1",0.33,-5.416,"1",9,2021-01-08,0.0512,104.969,0.417,"2021","Winter",0,9
0.00501,0.896,247.277,0.759,"0",0.581,"10",0.0977,-6.945,"0",0,2021-01-15,0.0804,126.009,0.21,"2021","Winter",0,0
0.000251,0.243,199.466,0.828,"0",1.23e-06,"4",0.0653,-5.836,"1",8,2021-01-08,0.138,197.558,0.193,"2021","Winter",0,8
0.988,0.6,121.858,0.0212,"0",0.931,"8",0.102,-21,"0",0,2021-01-09,0.135,74.4,0.107,"2021","Winter",0,0
0.000484,0.359,200.081,0.808,"1",0,"4",0.145,-5.805,"1",8,2021-01-08,0.083,107.654,0.494,"2021","Winter",0,8
